Year;Month;Day;Hour;Minute;Second;Irradiance;ExternalTemperature
2011;3;18;18;0;0;5,4;2,3
2011;3;18;19;0;0;1,2;2,7
2011;3;18;20;0;0;1,2;2,2
2011;3;18;21;0;0;1,2;1,5
2011;3;18;22;0;0;1,2;1,6
2011;3;18;23;0;0;1,2;1,6
2011;3;19;0;0;0;1,2;1,9
2011;3;19;1;0;0;1,2;1,6
2011;3;19;2;0;0;1,2;0,9
2011;3;19;3;0;0;1,2;0,9
2011;3;19;4;0;0;1,2;1
2011;3;19;5;0;0;1,2;1,6
2011;3;19;6;0;0;3,9;3
2011;3;19;7;0;0;77,6;3,7
2011;3;19;8;0;0;315,2;4,4
2011;3;19;9;0;0;617,4;5,9
2011;3;19;10;0;0;796,5;7,4
2011;3;19;11;0;0;919;7,8
2011;3;19;12;0;0;951,6;8,2
2011;3;19;13;0;0;924,7;8,6
2011;3;19;14;0;0;811,2;8,6
2011;3;19;15;0;0;617,9;8,2
2011;3;19;16;0;0;372,3;7,6
2011;3;19;17;0;0;122,8;6,6
2011;3;19;18;0;0;9,5;5,5
2011;3;19;19;0;0;1,2;4,2
2011;3;19;20;0;0;1,2;3,5
2011;3;19;21;0;0;1,2;2,9
2011;3;19;22;0;0;1,2;2,6
2011;3;19;23;0;0;1,2;2,8
2011;3;20;0;0;0;1,2;2,9
2011;3;20;1;0;0;1,2;3,2
2011;3;20;2;0;0;1,2;2,9
2011;3;20;3;0;0;1,2;2,4
2011;3;20;4;0;0;1,2;2,4
2011;3;20;5;0;0;1,2;2,3
2011;3;20;6;0;0;5,5;1,7
2011;3;20;7;0;0;26,4;1,5
2011;3;20;8;0;0;53,2;2
2011;3;20;9;0;0;94,3;2,2
2011;3;20;10;0;0;105,9;2,4
2011;3;20;11;0;0;129,3;3,3
2011;3;20;12;0;0;666;6,5
2011;3;20;13;0;0;802,1;9,4
2011;3;20;14;0;0;591,4;8,7
2011;3;20;15;0;0;542,9;9,8
2011;3;20;16;0;0;279,7;9,3
2011;3;20;17;0;0;82;8,3
2011;3;20;18;0;0;7,5;7,1
2011;3;20;19;0;0;1,2;6,7
2011;3;20;20;0;0;1,2;5,9
2011;3;20;21;0;0;1,2;4,9
2011;3;20;22;0;0;1,2;4
2011;3;20;23;0;0;1,2;3,2
2011;3;21;0;0;0;1,2;2,7
2011;3;21;1;0;0;1,2;3
2011;3;21;2;0;0;1,2;3,6
2011;3;21;3;0;0;1,2;4,3
2011;3;21;4;0;0;1,2;4,4
2011;3;21;5;0;0;1,2;5,1
2011;3;21;6;0;0;4,6;5,6
2011;3;21;7;0;0;26,6;6,4
2011;3;21;8;0;0;123,7;7,7
2011;3;21;9;0;0;243;9,3
2011;3;21;10;0;0;731,5;11,5
2011;3;21;11;0;0;558,1;12
2011;3;21;12;0;0;640,5;12,8
2011;3;21;13;0;0;478;12,7
2011;3;21;14;0;0;612,8;12,7
2011;3;21;15;0;0;441,6;12,4
2011;3;21;16;0;0;265,3;11,4
2011;3;21;17;0;0;115;10,3
2011;3;21;18;0;0;11,2;8,2
2011;3;21;19;0;0;1,1;7,6
2011;3;21;20;0;0;1,1;7,6
2011;3;21;21;0;0;1,2;6,8
2011;3;21;22;0;0;1,1;6,7
2011;3;21;23;0;0;1,1;6,5
2011;3;22;0;0;0;1,2;6,4
2011;3;22;1;0;0;1,2;6,5
2011;3;22;2;0;0;1,1;6,2
2011;3;22;3;0;0;1,2;6,3
2011;3;22;4;0;0;1,2;5,9
2011;3;22;5;0;0;1,2;5,7
2011;3;22;6;0;0;15;6
2011;3;22;7;0;0;148,2;7,1
2011;3;22;8;0;0;390;8,6
2011;3;22;9;0;0;621;10,1
2011;3;22;10;0;0;709;11,2
2011;3;22;11;0;0;262,4;11,7
2011;3;22;12;0;0;469,8;12
2011;3;22;13;0;0;533,7;11,9
2011;3;22;14;0;0;761,6;12,2
2011;3;22;15;0;0;586,6;11,9
2011;3;22;16;0;0;329,2;11,1
2011;3;22;17;0;0;99;9,9
2011;3;22;18;0;0;10;8,5
2011;3;22;19;0;0;1,2;7
2011;3;22;20;0;0;1,2;6
2011;3;22;21;0;0;1,2;5,4
2011;3;22;22;0;0;1,1;4,8
2011;3;22;23;0;0;1,1;4,8
2011;3;23;0;0;0;1,1;4,8
2011;3;23;1;0;0;1,1;4,8
2011;3;23;2;0;0;1,1;4,5
2011;3;23;3;0;0;1,2;4
2011;3;23;4;0;0;1,2;3,1
2011;3;23;5;0;0;1,2;3,7
2011;3;23;6;0;0;16,2;5,1
2011;3;23;7;0;0;105,9;5,4
2011;3;23;8;0;0;316,7;6,3
2011;3;23;9;0;0;378,9;7,2
2011;3;23;10;0;0;178,4;8,2
2011;3;23;11;0;0;192,4;8,7
2011;3;23;12;0;0;557,9;9,6
2011;3;23;13;0;0;369,9;10,4
2011;3;23;14;0;0;115,5;9,8
2011;3;23;15;0;0;244,7;10
2011;3;23;16;0;0;199,7;9,8
2011;3;23;17;0;0;127,8;9,1
2011;3;23;18;0;0;16,5;8
2011;3;23;19;0;0;1,2;7,4
2011;3;23;20;0;0;1,1;7,2
2011;3;23;21;0;0;1,1;7,1
2011;3;23;22;0;0;1,1;7,7
2011;3;23;23;0;0;1,1;8,2
2011;3;24;0;0;0;1,1;8,1
2011;3;24;1;0;0;1,1;8,2
2011;3;24;2;0;0;1,1;8,3
2011;3;24;3;0;0;1,1;8,1
2011;3;24;4;0;0;1,1;7,4
2011;3;24;5;0;0;1,2;7,2
2011;3;24;6;0;0;11,3;7,6
2011;3;24;7;0;0;47;8
2011;3;24;8;0;0;316,8;8,9
2011;3;24;9;0;0;595,9;9,3
2011;3;24;10;0;0;780,4;10
2011;3;24;11;0;0;931,4;10,4
2011;3;24;12;0;0;975,3;11,3
2011;3;24;13;0;0;898;11,8
2011;3;24;14;0;0;768,5;11
2011;3;24;15;0;0;560,1;10,3
2011;3;24;16;0;0;233;9,4
2011;3;24;17;0;0;36,2;7,9
2011;3;24;18;0;0;7;7,4
2011;3;24;19;0;0;1,2;7,1
2011;3;24;20;0;0;1,1;6,9
2011;3;24;21;0;0;1,1;6,7
2011;3;24;22;0;0;1,1;6,7
2011;3;24;23;0;0;1,1;6,6
2011;3;25;0;0;0;1,1;6,4
2011;3;25;1;0;0;1,1;6,4
2011;3;25;2;0;0;1,1;5,4
2011;3;25;3;0;0;1,1;5,2
2011;3;25;4;0;0;1,1;5,2
2011;3;25;5;0;0;1,2;5
2011;3;25;6;0;0;6,2;4,7
2011;3;25;7;0;0;55,2;4,8
2011;3;25;8;0;0;278,3;5,4
2011;3;25;9;0;0;553,5;7,1
2011;3;25;10;0;0;413,3;7,6
2011;3;25;11;0;0;645,4;7,6
2011;3;25;12;0;0;355,7;6,8
2011;3;25;13;0;0;289,5;6,8
2011;3;25;14;0;0;485,4;7,3
2011;3;25;15;0;0;197,5;7,2
2011;3;25;16;0;0;202,7;6,8
2011;3;25;17;0;0;112,6;5,9
2011;3;25;18;0;0;20,8;4,6
2011;3;25;19;0;0;1,2;3,6
2011;3;25;20;0;0;1,2;2,7
2011;3;25;21;0;0;1,2;1,9
2011;3;25;22;0;0;1,2;1,6
2011;3;25;23;0;0;1,2;1,3
2011;3;26;0;0;0;1,2;0,8
2011;3;26;1;0;0;1,2;0,1
2011;3;26;2;0;0;1,2;-0,1
2011;3;26;3;0;0;1,2;0
2011;3;26;4;0;0;1,2;0
2011;3;26;5;0;0;1,4;-1
2011;3;26;6;0;0;15,9;-0,8
2011;3;26;7;0;0;80,4;0,2
2011;3;26;8;0;0;310,3;1,4
2011;3;26;9;0;0;675,3;2,6
2011;3;26;10;0;0;858;3,8
2011;3;26;11;0;0;966,9;4,4
2011;3;26;12;0;0;1004;5,8
2011;3;26;13;0;0;723,2;5
2011;3;26;14;0;0;744,3;5,6
2011;3;26;15;0;0;562,3;4,9
2011;3;26;16;0;0;433;5,8
2011;3;26;17;0;0;166,4;4,6
2011;3;26;18;0;0;15,6;1,5
2011;3;26;19;0;0;1,2;-0,8
2011;3;26;20;0;0;1,2;-2,1
2011;3;26;21;0;0;1,2;-2,2
2011;3;26;22;0;0;1,2;-1,8
2011;3;26;23;0;0;1,2;-1,9
2011;3;27;0;0;0;1,2;-2,3
2011;3;27;1;0;0;1,2;-2,5
2011;3;27;3;0;0;1,2;-2,7
2011;3;27;4;0;0;1,2;-2,2
2011;3;27;5;0;0;1,2;-2,2
2011;3;27;6;0;0;1,3;-2,4
2011;3;27;7;0;0;28,7;-2,5
2011;3;27;8;0;0;144,7;-0,6
2011;3;27;9;0;0;286,2;1,8
2011;3;27;10;0;0;602,2;3,9
2011;3;27;11;0;0;854,3;5,5
2011;3;27;12;0;0;756,2;6,5
2011;3;27;13;0;0;363,7;6,5
2011;3;27;14;0;0;213,3;6,6
2011;3;27;15;0;0;133,1;5,7
2011;3;27;16;0;0;106,8;5,1
2011;3;27;17;0;0;40,3;4
2011;3;27;18;0;0;18,4;3,4
2011;3;27;19;0;0;4,9;3
2011;3;27;20;0;0;1,2;3,2
2011;3;27;21;0;0;1,2;4,2
2011;3;27;22;0;0;1,2;4,9
2011;3;27;23;0;0;1,2;5,2
2011;3;28;0;0;0;1,2;5,2
2011;3;28;1;0;0;1,2;4
2011;3;28;2;0;0;1,2;3,1
2011;3;28;3;0;0;1,2;2,9
2011;3;28;4;0;0;1,2;2,5
2011;3;28;5;0;0;1,2;2,3
2011;3;28;6;0;0;1,6;2
2011;3;28;7;0;0;27,1;2,1
2011;3;28;8;0;0;189,3;3
2011;3;28;9;0;0;440,2;4,6
2011;3;28;10;0;0;669,7;5,9
2011;3;28;11;0;0;849,7;7,3
2011;3;28;12;0;0;962,2;8,2
2011;3;28;13;0;0;1009,9;9
2011;3;28;14;0;0;955,9;9,1
2011;3;28;15;0;0;796,2;8,8
2011;3;28;16;0;0;523;7,6
2011;3;28;17;0;0;258,8;6,3
2011;3;28;18;0;0;52,7;5,3
2011;3;28;19;0;0;12,4;4,3
2011;3;28;20;0;0;1,2;3,8
2011;3;28;21;0;0;1,2;3,4
2011;3;28;22;0;0;1,2;3,1
2011;3;28;23;0;0;1,2;2,9
2011;3;29;0;0;0;1,2;3,5
2011;3;29;1;0;0;1,2;4,1
2011;3;29;2;0;0;1,2;4,1
2011;3;29;3;0;0;1,2;4
2011;3;29;4;0;0;1,1;4
2011;3;29;5;0;0;1,2;4,2
2011;3;29;6;0;0;1,2;4,5
2011;3;29;7;0;0;5,9;5
2011;3;29;8;0;0;47,9;5,8
2011;3;29;9;0;0;85;6,5
2011;3;29;10;0;0;140;7,2
2011;3;29;11;0;0;254,8;8,3
2011;3;29;12;0;0;618,3;9,3
2011;3;29;13;0;0;364,7;9,6
2011;3;29;14;0;0;420,5;10
2011;3;29;15;0;0;182,3;9,4
2011;3;29;16;0;0;367,9;9,3
2011;3;29;17;0;0;399,9;8,7
2011;3;29;18;0;0;159,5;7,6
2011;3;29;19;0;0;18;6,3
2011;3;29;20;0;0;1,2;4,8
2011;3;29;21;0;0;1,2;3,4
2011;3;29;22;0;0;1,1;2,9
2011;3;29;23;0;0;1,2;2,3
2011;3;30;0;0;0;1,2;2,1
2011;3;30;1;0;0;1,2;1,8
2011;3;30;2;0;0;1,2;1,4
2011;3;30;3;0;0;1,2;0,9
2011;3;30;4;0;0;1,2;0,6
2011;3;30;5;0;0;1,2;0,4
2011;3;30;6;0;0;1,6;-0,4
2011;3;30;7;0;0;27,4;-0,2
2011;3;30;8;0;0;123;1,9
2011;3;30;9;0;0;258,1;4,5
2011;3;30;10;0;0;489,3;7
2011;3;30;11;0;0;797,4;9,2
2011;3;30;12;0;0;741,9;10,1
2011;3;30;13;0;0;611,9;8,9
2011;3;30;14;0;0;639,1;9,5
2011;3;30;15;0;0;414,2;8,7
2011;3;30;16;0;0;245,3;7,4
2011;3;30;17;0;0;123,9;6,2
2011;3;30;18;0;0;48,3;5,4
2011;3;30;19;0;0;9,7;4,5
2011;3;30;20;0;0;1,2;4,3
2011;3;30;21;0;0;1,1;4
2011;3;30;22;0;0;1,1;3,9
2011;3;30;23;0;0;1,1;4,3
2011;3;31;0;0;0;1,1;4,5
2011;3;31;1;0;0;1,1;4,5
2011;3;31;2;0;0;1,1;4,7
2011;3;31;3;0;0;1,1;4,6
2011;3;31;4;0;0;1,1;4,3
2011;3;31;5;0;0;1,1;4,2
2011;3;31;6;0;0;1,2;3,9
2011;3;31;7;0;0;3,4;3,8
2011;3;31;8;0;0;15,8;4
2011;3;31;9;0;0;32,2;4,3
2011;3;31;10;0;0;48,2;4,7
2011;3;31;11;0;0;58,8;5,2
2011;3;31;12;0;0;94,8;6,2
2011;3;31;13;0;0;91,4;6,8
2011;3;31;14;0;0;87,9;7,5
2011;3;31;15;0;0;48,5;7,7
2011;3;31;16;0;0;39,4;7,9
2011;3;31;17;0;0;14,5;7,4
2011;3;31;18;0;0;10,3;7,4
2011;3;31;19;0;0;5;7,6
2011;3;31;20;0;0;1,1;7,6
2011;3;31;21;0;0;1,1;8
2011;3;31;22;0;0;1,1;8,7
2011;3;31;23;0;0;1,1;8,2
2011;4;1;0;0;0;1,1;7,8
2011;4;1;1;0;0;1,1;7,2
2011;4;1;2;0;0;1,1;6,8
2011;4;1;3;0;0;1,1;6,5
2011;4;1;4;0;0;1,1;6,3
2011;4;1;5;0;0;1,1;6,4
2011;4;1;6;0;0;1,3;5,5
2011;4;1;7;0;0;5,9;4,8
2011;4;1;14;0;0;638,1;12,1
2011;4;1;15;0;0;774,6;13,6
2011;4;1;16;0;0;415,8;14,9
2011;4;1;17;0;0;79,2;14,2
2011;4;1;18;0;0;45,5;13,9
2011;4;1;19;0;0;4,5;10,1
2011;4;1;20;0;0;1,1;8,6
2011;4;1;21;0;0;1;10
2011;4;1;22;0;0;1;10,1
2011;4;1;23;0;0;1;9,7
2011;4;2;0;0;0;1;9,6
2011;4;2;1;0;0;1;9,6
2011;4;2;2;0;0;1;9,8
2011;4;2;3;0;0;1;9,6
2011;4;2;4;0;0;1;9,6
2011;4;2;5;0;0;1;9,8
2011;4;2;6;0;0;1,7;9,3
2011;4;2;7;0;0;44,8;9,4
2011;4;2;8;0;0;52;9,8
2011;4;2;9;0;0;78,5;9,8
2011;4;2;10;0;0;126,7;11,1
2011;4;2;11;0;0;152,1;12,7
2011;4;2;12;0;0;209,1;14,3
2011;4;2;13;0;0;752,5;18,4
2011;4;2;14;0;0;788,2;20,4
2011;4;2;15;0;0;638,4;21,4
2011;4;2;16;0;0;525,4;21,9
2011;4;2;17;0;0;319,7;21,4
2011;4;2;18;0;0;102,4;19,7
2011;4;2;19;0;0;17,2;16,5
2011;4;2;20;0;0;1,1;15
2011;4;2;21;0;0;1;14,7
2011;4;2;22;0;0;1;14,1
2011;4;2;23;0;0;1;13,9
2011;4;3;0;0;0;1;13,6
2011;4;3;1;0;0;1;13,2
2011;4;3;2;0;0;1;12,9
2011;4;3;3;0;0;1;13
2011;4;3;4;0;0;1;13,1
2011;4;3;5;0;0;1;11,8
2011;4;3;6;0;0;1,2;10,2
2011;4;3;7;0;0;5,9;10
2011;4;3;8;0;0;33,6;10,2
2011;4;3;9;0;0;44,5;9,6
2011;4;3;10;0;0;60,8;8,9
2011;4;3;11;0;0;75,7;8,9
2011;4;3;12;0;0;79,6;8,5
2011;4;3;13;0;0;95,6;8
2011;4;3;14;0;0;443,8;8,7
2011;4;3;15;0;0;465,8;9,9
2011;4;3;16;0;0;531;10,2
2011;4;3;17;0;0;223,9;10,4
2011;4;3;18;0;0;95,2;9,7
2011;4;3;19;0;0;23,2;8,7
2011;4;3;20;0;0;1,5;7,4
2011;4;3;21;0;0;1,1;6,6
2011;4;3;22;0;0;1;6,6
2011;4;3;23;0;0;1,1;6,3
2011;4;4;0;0;0;1,1;6,2
2011;4;4;1;0;0;1;6,3
2011;4;4;2;0;0;1;6,2
2011;4;4;3;0;0;1;6
2011;4;4;4;0;0;1;6,2
2011;4;4;5;0;0;1;6,1
2011;4;4;6;0;0;2,6;5,9
2011;4;4;7;0;0;45,7;6,1
2011;4;4;8;0;0;127,8;7,5
2011;4;4;9;0;0;221,1;8,7
2011;4;4;10;0;0;685,1;10,1
2011;4;4;11;0;0;875,5;11,8
2011;4;4;12;0;0;977,7;12,8
2011;4;4;13;0;0;1010,2;12,9
2011;4;4;14;0;0;963,5;13
2011;4;4;15;0;0;804,1;12,5
2011;4;4;16;0;0;594,1;12,6
2011;4;4;17;0;0;381,2;12,5
2011;4;4;18;0;0;112,1;11,5
2011;4;4;19;0;0;32,4;10,4
2011;4;4;20;0;0;1,3;8,7
2011;4;4;21;0;0;1;7,4
2011;4;4;22;0;0;1;6,6
2011;4;4;23;0;0;1;6
2011;4;5;0;0;0;1;5,9
2011;4;5;1;0;0;1;6,3
2011;4;5;2;0;0;1;6,5
2011;4;5;3;0;0;1;6,8
2011;4;5;4;0;0;1;6,9
2011;4;5;5;0;0;1;7,2
2011;4;5;6;0;0;1,5;7,8
2011;4;5;7;0;0;11,4;8
2011;4;5;8;0;0;72,3;9
2011;4;5;9;0;0;105,9;9,4
2011;4;8;10;0;0;149,1;10
2011;4;8;11;0;0;432,9;11,1
2011;4;8;12;0;0;757,9;11,6
2011;4;8;13;0;0;930,9;11,6
2011;4;8;14;0;0;944,7;11,4
2011;4;8;15;0;0;821,1;11,3
2011;4;8;16;0;0;628,5;11,3
2011;4;8;17;0;0;397,1;10,9
2011;4;8;18;0;0;163,4;10,5
2011;4;8;19;0;0;28,2;9,5
2011;4;8;20;0;0;2,4;8,5
2011;4;8;21;0;0;1,1;8,2
2011;4;8;22;0;0;1,1;7,7
2011;4;8;23;0;0;1,1;7,5
2011;4;9;0;0;0;1,1;7,3
2011;4;9;1;0;0;1,1;7
2011;4;9;2;0;0;1,1;6,9
2011;4;9;3;0;0;1,1;6,7
2011;4;9;4;0;0;1,1;6,2
2011;4;9;5;0;0;1,1;5,6
2011;4;9;6;0;0;6,7;5,2
2011;4;9;7;0;0;47,5;6,2
2011;4;9;8;0;0;237,3;7,6
2011;4;9;9;0;0;479,9;10
2011;4;9;10;0;0;702,3;13
2011;4;9;11;0;0;870,8;14,9
2011;4;9;12;0;0;972;15,9
2011;4;9;13;0;0;988,3;16,2
2011;4;9;14;0;0;945,7;15,1
2011;4;9;15;0;0;820,9;15,3
2011;4;9;16;0;0;635,1;14,7
2011;4;9;17;0;0;388,2;14,3
2011;4;9;18;0;0;156,6;13,5
2011;4;9;19;0;0;30,5;12,1
2011;4;9;20;0;0;2,7;10,2
2011;4;9;21;0;0;1,1;7,4
2011;4;9;22;0;0;1,2;6,2
2011;4;9;23;0;0;1,2;5,8
2011;4;10;0;0;0;1,2;5,7
2011;4;10;1;0;0;1,2;6
2011;4;10;2;0;0;1,2;5,4
2011;4;10;3;0;0;1,2;5,3
2011;4;10;4;0;0;1,1;4,4
2011;4;10;5;0;0;1,2;3,3
2011;4;10;6;0;0;7,4;2,8
2011;4;10;7;0;0;55,2;5,9
2011;4;10;8;0;0;219,4;8,5
2011;4;10;9;0;0;444,1;12
2011;4;10;10;0;0;634,7;15,7
2011;4;10;11;0;0;777,7;19,8
2011;4;10;12;0;0;840,1;22
2011;4;10;13;0;0;794,5;21,6
2011;4;10;14;0;0;761,2;24
2011;4;10;15;0;0;636,7;22,7
2011;4;10;16;0;0;480,8;21,3
2011;4;10;17;0;0;262,4;20,4
2011;4;10;18;0;0;115;19
2011;4;10;19;0;0;32,6;17
2011;4;10;20;0;0;1,9;14,4
2011;4;10;21;0;0;1,1;12,6
2011;4;10;22;0;0;1,1;11,5
2011;4;10;23;0;0;1,1;9,2
2011;4;11;0;0;0;1,1;8,1
2011;4;11;1;0;0;1,1;8,3
2011;4;11;2;0;0;1,2;7,4
2011;4;11;3;0;0;1,2;6,9
2011;4;11;4;0;0;1,2;6,5
2011;4;11;5;0;0;1,2;6,4
2011;4;11;6;0;0;7,7;6,6
2011;4;11;7;0;0;56;7,4
2011;4;11;8;0;0;177,1;9,2
2011;4;11;9;0;0;404,2;11,1
2011;4;11;10;0;0;685,6;12,5
2011;4;11;11;0;0;865,1;14,4
2011;4;11;12;0;0;958,8;16
2011;4;11;13;0;0;984,9;16,4
2011;4;11;14;0;0;941;17,1
2011;4;11;15;0;0;811,1;16,6
2011;4;11;16;0;0;634,1;16,6
2011;4;11;17;0;0;403,7;16
2011;4;11;18;0;0;165;14,8
2011;4;11;19;0;0;26,8;13
2011;4;11;20;0;0;2,7;11,2
2011;4;11;21;0;0;1,1;10,6
2011;4;11;22;0;0;1,1;10,5
2011;4;11;23;0;0;1,1;10,2
2011;4;12;0;0;0;1,1;9,7
2011;4;12;1;0;0;1,1;9
2011;4;12;2;0;0;1,1;8,9
2011;4;12;3;0;0;1,1;8,5
2011;4;12;4;0;0;1,1;8,4
2011;4;12;5;0;0;1,1;7,5
2011;4;12;6;0;0;2,2;7,1
2011;4;12;7;0;0;15,8;7,3
2011;4;12;8;0;0;59;7,9
2011;4;12;9;0;0;74,8;7,1
2011;4;12;10;0;0;97,4;8,2
2011;4;12;11;0;0;120,3;7,7
2011;4;12;12;0;0;301,7;9
2011;4;12;13;0;0;254,1;9,5
2011;4;12;14;0;0;153,2;7
2011;4;12;15;0;0;123,4;6
2011;4;12;16;0;0;104,2;6
2011;4;12;17;0;0;65,6;6
2011;4;12;18;0;0;37,3;5,9
2011;4;12;19;0;0;7,8;5,9
2011;4;12;20;0;0;1,5;5,8
2011;4;12;21;0;0;1,2;5,7
2011;4;12;22;0;0;1,1;5,6
2011;4;12;23;0;0;1,1;5,8
2011;4;13;0;0;0;1,1;4,9
2011;4;13;1;0;0;1,1;4,6
2011;4;13;2;0;0;1,1;4,4
2011;4;13;3;0;0;1,1;4,1
2011;4;13;4;0;0;1,1;4
2011;4;13;5;0;0;1,1;4,3
2011;4;13;6;0;0;2,1;4,4
2011;4;13;7;0;0;11,7;4,6
2011;4;13;8;0;0;26,5;4,8
2011;4;13;9;0;0;51,9;5,2
2011;4;13;10;0;0;109,2;5,8
2011;4;13;11;0;0;137,1;6,3
2011;4;13;12;0;0;148,5;6,8
2011;4;13;13;0;0;171;7,7
2011;4;13;14;0;0;210,1;8,1
2011;4;13;15;0;0;189,5;8,3
2011;4;13;16;0;0;193,1;8,8
2011;4;13;17;0;0;160,6;9,2
2011;4;13;18;0;0;171,8;9
2011;4;13;19;0;0;46,9;7,7
2011;4;13;20;0;0;5;6,3
2011;4;13;21;0;0;1,2;5,2
2011;4;13;22;0;0;1,2;4,8
2011;4;13;23;0;0;1,2;3,6
2011;4;14;0;0;0;1,2;3,6
2011;4;14;1;0;0;1,2;3,4
2011;4;14;2;0;0;1,2;2,5
2011;4;14;3;0;0;1,2;2,6
2011;4;14;4;0;0;1,2;2,3
2011;4;14;14;0;0;941;14
2011;4;14;15;0;0;840,4;13,8
2011;4;14;16;0;0;649,4;14,7
2011;4;14;17;0;0;407,7;13,5
2011;4;14;18;0;0;170,4;12,5
2011;4;14;19;0;0;31,4;10,5
2011;4;14;20;0;0;2,9;8,1
2011;4;14;21;0;0;1,1;5,8
2011;4;14;22;0;0;1,1;4,1
2011;4;14;23;0;0;1,1;3,7
2011;4;15;0;0;0;1,1;3,6
2011;4;15;1;0;0;1,1;4,6
2011;4;15;2;0;0;1,1;4,3
2011;4;15;3;0;0;1,1;2,6
2011;4;15;4;0;0;1,1;4,8
2011;4;15;5;0;0;1,1;5,7
2011;4;15;6;0;0;10;5,8
2011;4;15;7;0;0;48,9;6,5
2011;4;15;8;0;0;79,1;7,2
2011;4;15;9;0;0;295,8;11
2011;4;15;10;0;0;331,7;12,7
2011;4;15;11;0;0;493,4;13,9
2011;4;15;12;0;0;551,6;15,4
2011;4;15;13;0;0;457,5;15,1
2011;4;15;14;0;0;518,6;15,7
2011;4;15;15;0;0;314,1;15,4
2011;4;15;16;0;0;203,5;14,3
2011;4;15;17;0;0;134;13,2
2011;4;15;18;0;0;79;12,2
2011;4;15;19;0;0;29,3;10,8
2011;4;15;20;0;0;4,4;9,7
2011;4;15;21;0;0;1,1;8,9
2011;4;15;22;0;0;1,1;8,8
2011;4;15;23;0;0;1,1;8,7
2011;4;16;0;0;0;1,1;8,6
2011;4;16;1;0;0;1,1;8,3
2011;4;16;2;0;0;1,1;7,9
2011;4;16;3;0;0;1,1;7,3
2011;4;16;4;0;0;1,1;7
2011;4;16;5;0;0;1,1;6,9
2011;4;16;6;0;0;6,7;7,1
2011;4;16;7;0;0;32,7;7,7
2011;4;16;8;0;0;63,6;8,5
2011;4;16;9;0;0;91,5;9
2011;4;16;10;0;0;89,6;9,6
2011;4;16;11;0;0;141,6;10,5
